"Home","Trang chủ"
"Products","Sản Phẩm"
"New Products","Sản Phẩm Mới"
"Store Catalog","Danh mục sản phẩm"
"There is <strong>1 item</strong> in your cart","Hiện có <strong>1 item</strong> trong giỏ"
"There are <strong>%s items</strong> in your cart","Hiện có <strong>%s sản phẩm</strong> trong giỏ"
"Your <a href='%s'>Shopping cart</a> is empty.","<a href='%s'>Giỏ hàng</a> đang trống."
"View cart","Xem giỏ hàng"
"Special Price","Giá giảm:"
"OR","HOẶC"
"Newsletter Sign-up","Đăng ký nhận bản tin"
"Subscribe","Đăng ký"
"Newsletter","Nhận bản tin"